SCHEMES,CATEGORY,_scheme_code,_match_score,CURRENT NAV,_nav_date,_fetched_at,1 DAY,7 DAY,15 DAY,30 DAY,3 MONTH,6 MONTH,1 YEAR,2 YEAR,3 YEAR,5 YEAR,7 YEAR,10 YEAR,15 YEAR,20 YEAR,25 YEAR,SINCE INCEPTION RETURN,LAUNCH DATE,ALPHA,BETA,MEAN,STANDARD DEV,SHARPE RATIO,SORTINO RATIO,52-Weeks High NAV,52-Weeks Low NAV,Discount,_status
Baroda BNP Paribas Banking and PSU Bond Fund Reg (G),Debt: Banking and PSU,153604,0.62,10.2456,19-Jun-2026,2026-06-21 18:39:24,0.64,0.43,2.06,0.37,10.25,7.87,,,,,,,,,,2.41,01-07-2025,,,,,,,10.2553,9.0594,0.09,OK
Franklin India Banking & PSU Debt Fund (G),Debt: Banking and PSU,129006,1.0,23.7566,19-Jun-2026,2026-06-21 18:39:24,0.06,0.26,0.55,0.77,1.41,2.73,5.8,7.29,7.1,6.03,6.61,7.05,,,,7.38,25-04-2014,,,7.18,0.97,0.7,0.86,23.7566,22.4548,0.0,OK
UTI Banking & PSU Fund Reg (G),Debt: Banking and PSU,126940,0.57,23.6124,19-Jun-2026,2026-06-21 18:39:25,0.01,0.22,0.61,0.87,1.62,2.76,5.63,7.44,7.21,7.57,7.29,6.7,,,,7.18,06-02-2014,,,7.28,0.83,0.94,1.4,23.6124,22.341,0.0,OK
ICICI Pru Banking and PSU Debt Fund Reg (G),Debt: Banking and PSU,112342,1.0,34.497,19-Jun-2026,2026-06-21 18:39:46,0.01,0.24,1.11,1.58,1.68,2.44,5.25,7.0,7.15,6.38,6.83,7.18,7.89,,,7.81,04-01-2010,,,7.22,0.98,0.73,0.91,34.497,32.7747,0.0,OK
Kotak Banking & PSU Debt Fund (G),Debt: Banking and PSU,123690,0.83,68.9363,19-Jun-2026,2026-06-21 18:39:47,0.02,0.19,1.2,1.7,1.6,2.52,5.08,7.17,7.11,6.17,6.85,7.24,,,,7.76,14-08-2013,,,7.18,1.14,0.6,0.81,68.9363,65.5819,0.0,OK
