2026-06-21 12:56:34 | INFO    | orchestrator | ======================================================================
2026-06-21 12:56:34 | INFO    | orchestrator | 🚀 PORTFOLIO MODEL UPDATE — started 2026-06-21 12:56:34.353847
2026-06-21 12:56:34 | INFO    | orchestrator |    Mode: all  |  Test: False  |  Template: PERSONALISED_PORTFOLIO_ALLOCATION_MODEL_.xlsx
2026-06-21 12:56:34 | INFO    | orchestrator | ======================================================================
2026-06-21 12:56:34 | INFO    | nifty500 | 📊 Starting Nifty 500 fetch for 498 stocks…
2026-06-21 12:56:39 | WARNING | nifty500 |   ⚠️  No data for Ather Energy Ltd. (ATHER.NS)
2026-06-21 12:56:54 | WARNING | nifty500 |   ⚠️  No data for JBM Auto Ltd. (JBM.NS)
2026-06-21 12:56:55 | WARNING | nifty500 |   ⚠️  No data for JK Tyre & Industries Ltd. (JK.NS)
2026-06-21 12:56:59 | WARNING | nifty500 |   ⚠️  No data for Minda Corporation Ltd. (MINDA.NS)
2026-06-21 12:57:04 | WARNING | nifty500 |   ⚠️  No data for Ola Electric Mobility Ltd. (OLA.NS)
2026-06-21 12:57:05 | INFO    | nifty500 |    Progress: 25/498 (5.0%)
2026-06-21 12:57:06 | WARNING | nifty500 |   ⚠️  No data for Ramkrishna Forgings Ltd. (RAMKRISHNA.NS)
2026-06-21 12:57:08 | WARNING | nifty500 |   ⚠️  No data for Sona BLW Precision Forgings Ltd. (SONA.NS)
2026-06-21 12:57:09 | WARNING | nifty500 |   ⚠️  No data for Sundram Fasteners Ltd. (SUNDRAM.NS)
2026-06-21 12:57:11 | WARNING | nifty500 |   ⚠️  No data for Tata Motors Passenger Vehicles Ltd. (TATA.NS)
2026-06-21 12:57:12 | WARNING | nifty500 |   ⚠️  No data for Tube Investments of India Ltd. (TUBE.NS)
2026-06-21 12:57:15 | WARNING | nifty500 |   ⚠️  No data for UNO Minda Ltd. (UNO.NS)
2026-06-21 12:57:16 | WARNING | nifty500 |   ⚠️  No data for ZF Commercial Vehicle Control Systems India Ltd. (ZF.NS)
2026-06-21 12:57:19 | WARNING | nifty500 |   ⚠️  No data for State Bank of India (STATE.NS)
2026-06-21 12:57:21 | WARNING | nifty500 |   ⚠️  No data for ICICI Bank Ltd. (ICICI.NS)
2026-06-21 12:57:23 | WARNING | nifty500 |   ⚠️  No data for Kotak Mahindra Bank Ltd. (KOTAK.NS)
2026-06-21 12:57:24 | WARNING | nifty500 |   ⚠️  No data for Axis Bank Ltd. (AXIS.NS)
2026-06-21 12:57:25 | WARNING | nifty500 |   ⚠️  No data for Bank of Baroda (BANK.NS)
2026-06-21 12:57:27 | WARNING | nifty500 |   ⚠️  No data for Punjab National Bank (PUNJAB.NS)
2026-06-21 12:57:29 | WARNING | nifty500 |   ⚠️  No data for Canara Bank (CANARA.NS)
2026-06-21 12:57:30 | WARNING | nifty500 |   ⚠️  No data for Union Bank of India (UNION.NS)
2026-06-21 12:57:31 | WARNING | nifty500 |   ⚠️  No data for Indian Bank (INDIAN.NS)
2026-06-21 12:57:34 | WARNING | nifty500 |   ⚠️  No data for AU Small Finance Bank Ltd. (AU.NS)
2026-06-21 12:57:36 | WARNING | nifty500 |   ⚠️  No data for Bank of India (BANK.NS)
2026-06-21 12:57:37 | WARNING | nifty500 |   ⚠️  No data for IDFC First Bank Ltd. (IDFC.NS)
2026-06-21 12:57:40 | WARNING | nifty500 |   ⚠️  No data for IndusInd Bank Ltd. (INDUSIND.NS)
2026-06-21 12:57:41 | WARNING | nifty500 |   ⚠️  No data for Federal Bank Ltd. (FEDERAL.NS)
2026-06-21 12:57:42 | INFO    | nifty500 |    Progress: 50/498 (10.0%)
2026-06-21 12:57:42 | WARNING | nifty500 |   ⚠️  No data for Indian Overseas Bank (INDIAN.NS)
2026-06-21 12:57:44 | WARNING | nifty500 |   ⚠️  No data for Yes Bank Ltd. (YES.NS)
2026-06-21 12:57:45 | WARNING | nifty500 |   ⚠️  No data for Bank of Maharashtra (BANK.NS)
2026-06-21 12:57:46 | WARNING | nifty500 |   ⚠️  No data for UCO Bank (UCO.NS)
2026-06-21 12:57:48 | WARNING | nifty500 |   ⚠️  No data for Central Bank of India (CENTRAL.NS)
2026-06-21 12:57:49 | WARNING | nifty500 |   ⚠️  No data for Karur Vysya Bank Ltd. (KARUR.NS)
2026-06-21 12:57:51 | WARNING | nifty500 |   ⚠️  No data for Bandhan Bank Ltd. (BANDHAN.NS)
2026-06-21 12:57:52 | WARNING | nifty500 |   ⚠️  No data for City Union Bank Ltd. (CITY.NS)
2026-06-21 12:57:54 | WARNING | nifty500 |   ⚠️  No data for RBL Bank Ltd. (RBL.NS)
2026-06-21 12:57:55 | WARNING | nifty500 |   ⚠️  No data for Jammu & Kashmir Bank Ltd. (JAMMU.NS)
2026-06-21 12:57:57 | WARNING | nifty500 |   ⚠️  No data for Ashok Leyland Ltd. (ASHOK.NS)
2026-06-21 12:57:58 | WARNING | nifty500 |   ⚠️  No data for Cummins India Ltd. (CUMMINS.NS)
2026-06-21 12:58:02 | WARNING | nifty500 |   ⚠️  No data for CG Power and Industrial Solutions Ltd. (CG.NS)
2026-06-21 12:58:03 | WARNING | nifty500 |   ⚠️  No data for Bharat Heavy Electricals Ltd. (BHARAT.NS)
2026-06-21 12:58:06 | WARNING | nifty500 |   ⚠️  No data for Waaree Energies Ltd. (WAAREE.NS)
2026-06-21 12:58:07 | WARNING | nifty500 |   ⚠️  No data for Hitachi Energy India Ltd. (HITACHI.NS)
2026-06-21 12:58:08 | WARNING | nifty500 |   ⚠️  No data for GE Vernova T&D India Ltd. (GE.NS)
2026-06-21 12:58:11 | WARNING | nifty500 |   ⚠️  No data for APL Apollo Tubes Ltd. (APL.NS)
2026-06-21 12:58:14 | INFO    | nifty500 |    Progress: 75/498 (15.1%)
2026-06-21 12:58:15 | WARNING | nifty500 |   ⚠️  No data for Cochin Shipyard Ltd. (COCHIN.NS)
2026-06-21 12:58:20 | WARNING | nifty500 |   ⚠️  No data for AIA Engineering Ltd. (AIA.NS)
2026-06-21 12:58:22 | WARNING | nifty500 |   ⚠️  No data for Apar Industries Ltd. (APAR.NS)
2026-06-21 12:58:23 | WARNING | nifty500 |   ⚠️  No data for Honeywell Automation India Ltd. (HONEYWELL.NS)
2026-06-21 12:58:28 | WARNING | nifty500 |   ⚠️  No data for Shyam Metalics and Energy Ltd. (SHYAM.NS)
2026-06-21 12:58:29 | WARNING | nifty500 |   ⚠️  No data for HBL Engineering Ltd. (HBL.NS)
2026-06-21 12:58:31 | WARNING | nifty500 |   ⚠️  No data for Welspun Corp Ltd. (WELSPUN.NS)
2026-06-21 12:58:32 | WARNING | nifty500 |   ⚠️  No data for Jyoti CNC Automation Ltd. (JYOTI.NS)
2026-06-21 12:58:34 | WARNING | nifty500 |   ⚠️  No data for Inox Wind Ltd. (INOX.NS)
2026-06-21 12:58:35 | WARNING | nifty500 |   ⚠️  No data for Godawari Power & Ispat Ltd. (GODAWARI.NS)
2026-06-21 12:58:36 | WARNING | nifty500 |   ⚠️  No data for Kirloskar Oil Eng Ltd. (KIRLOSKAR.NS)
2026-06-21 12:58:38 | WARNING | nifty500 |   ⚠️  No data for Carborundum Universal Ltd. (CARBORUNDUM.NS)
2026-06-21 12:58:39 | WARNING | nifty500 |   ⚠️  No data for R R Kabel Ltd. (R.NS)
2026-06-21 12:58:43 | WARNING | nifty500 |   ⚠️  No data for Elgi Equipments Ltd. (ELGI.NS)
2026-06-21 12:58:43 | WARNING | nifty500 |   ⚠️  No data for Jupiter Wagons Ltd. (JUPITER.NS)
2026-06-21 12:58:45 | INFO    | nifty500 |    Progress: 100/498 (20.1%)
2026-06-21 12:58:46 | WARNING | nifty500 |   ⚠️  No data for Usha Martin Ltd. (USHA.NS)
2026-06-21 12:58:48 | WARNING | nifty500 |   ⚠️  No data for Kirloskar Brothers Ltd. (KIRLOSKAR.NS)
2026-06-21 12:58:50 | WARNING | nifty500 |   ⚠️  No data for Jindal Saw Ltd. (JINDAL.NS)
2026-06-21 12:58:51 | WARNING | nifty500 |   ⚠️  No data for Finolex Cables Ltd. (FINOLEX.NS)
2026-06-21 12:58:52 | WARNING | nifty500 |   ⚠️  No data for Finolex Industries Ltd. (FINOLEX.NS)
2026-06-21 12:58:54 | WARNING | nifty500 |   ⚠️  No data for INOX India Ltd. (INOX.NS)
2026-06-21 12:58:56 | WARNING | nifty500 |   ⚠️  No data for Action Construction Equipment Ltd. (ACTION.NS)
2026-06-21 12:58:57 | WARNING | nifty500 |   ⚠️  No data for RHI MAGNESITA INDIA LTD. (RHI.NS)
2026-06-21 12:58:59 | WARNING | nifty500 |   ⚠️  No data for Transformers And Rectifiers (India) Ltd. (TRANSFORMERS.NS)
2026-06-21 12:59:01 | WARNING | nifty500 |   ⚠️  No data for Maharashtra Seamless Ltd. (MAHARASHTRA.NS)
2026-06-21 12:59:01 | WARNING | nifty500 |   ⚠️  No data for Praj Industries Ltd. (PRAJ.NS)
2026-06-21 12:59:02 | WARNING | nifty500 |   ⚠️  No data for Aarti Industries Ltd. (AARTI.NS)
2026-06-21 12:59:04 | WARNING | nifty500 |   ⚠️  No data for Alkyl Amines Chemicals Ltd. (ALKYL.NS)
2026-06-21 12:59:07 | WARNING | nifty500 |   ⚠️  No data for Bayer Cropscience Ltd. (BAYER.NS)
2026-06-21 12:59:09 | WARNING | nifty500 |   ⚠️  No data for Chambal Fertilizers & Chemicals Ltd. (CHAMBAL.NS)
2026-06-21 12:59:12 | WARNING | nifty500 |   ⚠️  No data for Deepak Fertilisers & Petrochemicals Corp. Ltd. (DEEPAK.NS)
2026-06-21 12:59:12 | INFO    | nifty500 |    Progress: 125/498 (25.1%)
2026-06-21 12:59:13 | WARNING | nifty500 |   ⚠️  No data for Deepak Nitrite Ltd. (DEEPAK.NS)
2026-06-21 12:59:15 | WARNING | nifty500 |   ⚠️  No data for Fertilisers and Chemicals Travancore Ltd. (FERTILISERS.NS)
2026-06-21 12:59:16 | WARNING | nifty500 |   ⚠️  No data for Gujarat Fluorochemicals Ltd. (GUJARAT.NS)
2026-06-21 12:59:17 | WARNING | nifty500 |   ⚠️  No data for Himadri Speciality Chemical Ltd. (HIMADRI.NS)
2026-06-21 12:59:18 | WARNING | nifty500 |   ⚠️  No data for Jubilant Ingrevia Ltd. (JUBILANT.NS)
2026-06-21 12:59:20 | WARNING | nifty500 |   ⚠️  No data for Linde India Ltd. (LINDE.NS)
2026-06-21 12:59:21 | WARNING | nifty500 |   ⚠️  No data for Navin Fluorine International Ltd. (NAVIN.NS)
2026-06-21 12:59:23 | WARNING | nifty500 |   ⚠️  No data for PI Industries Ltd. (PI.NS)
2026-06-21 12:59:24 | WARNING | nifty500 |   ⚠️  No data for Pidilite Industries Ltd. (PIDILITE.NS)
2026-06-21 12:59:26 | WARNING | nifty500 |   ⚠️  No data for Rashtriya Chemicals & Fertilizers Ltd. (RASHTRIYA.NS)
2026-06-21 12:59:27 | WARNING | nifty500 |   ⚠️  No data for Solar Industries India Ltd. (SOLAR.NS)
2026-06-21 12:59:29 | WARNING | nifty500 |   ⚠️  No data for Sumitomo Chemical India Ltd. (SUMITOMO.NS)
2026-06-21 12:59:30 | WARNING | nifty500 |   ⚠️  No data for Swan Corp Ltd. (SWAN.NS)
2026-06-21 12:59:32 | WARNING | nifty500 |   ⚠️  No data for Tata Chemicals Ltd. (TATA.NS)
